ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	149	0	0	0.000000	4.067114	4.067114	0.000000	0.000000	0	13	0
2	49	0	0	0.000000	16.816327	16.816327	0.000000	0.000000	0	12	0
3	58	0	0	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
4	72	0	0	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
5	47	0	0	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
6	47	0	0	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
7	57	0	0	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
8	56	0	0	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
